Source ID,Source Type,Source,Source URL
SNS-1-2018,Social Networking Service,Twitter,
N-1-2018,Newswire,Times of Malta,https://www.timesofmalta.com/articles/view/20171009/local/budget-2018-at-a-glance.660017
N-2-2018,Newswire,Times of Malta,https://www.timesofmalta.com/articles/view/20171009/local/live-commentary-budget-2018.660010
N-3-2018,Newswire,Times of Malta,https://www.timesofmalta.com/articles/view/20171009/local/no-new-taxes-or-tax-increases-in-budget-2018.660002
N-4-2018,Newswire,Times of Malta,https://www.timesofmalta.com/articles/view/20171009/local/live-prime-minister-explains-the-budget.660051 
N-5-2018,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2018/81161/no_tax_increases_in_maltas_first_surplus_budget#.W0Sb-aczZjV
N-6-2018,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2018/81157/live_finance_minister_presents_budget_2018#.W0XNb6czZPY
N-7-2018,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2018/81122/edward_scicluna_to_present_first_surplus_budget_in_decades#.W0Xv8qczZPY 
N-8-2018,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2018/81164/muscat_a_budget_to_repay_people_for_their_faith_in_the_government#.W0XwN6czZPY 
N-9-2018,Newswire,The Malta Independent,http://www.independent.com.mt/articles/2017-10-10/local-news/Budget-2018-What-s-in-it-for-you-6736179998
N-10-2018,Newswire,The Malta Independent,http://www.independent.com.mt/articles/2017-10-09/local-news/Budget-2018-for-a-common-brighter-future-PM-6736179986 
N-11-2018,Newswire,The Malta Independent,http://www.independent.com.mt/articles/2017-10-09/local-news/LIVE-Budget-2018-Government-presents-plans-for-2018-6736179987
N-12-2018,Newswire,The Malta Independent,http://www.independent.com.mt/articles/2017-10-10/newspaper-leader/TMID-Editorial-Budget-2018-Beyond-the-no-revenue-measures-increase-6736179996 
SNS-1-2019,Social Networking Service,Twitter,
N-1-2019,Newswire,Times of Malta,https://timesofmalta.com/articles/view/budget-will-help-families-adjust-to-growing-economy.692092
N-2-2019,Newswire,Times of Malta,https://timesofmalta.com/articles/view/live-budget-2019-as-it-happens.692296
N-3-2019,Newswire,Times of Malta,https://timesofmalta.com/articles/view/budget-2019-at-a-glance.692338
N-4-2019,Newswire,Times of Malta,https://timesofmalta.com/articles/view/muscat-announces-further-measures-after-budget-speech.692351
N-5-2019,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2019/90313/malta_registers_highest_surplus_in_the_eu#.XpRUocgzZPZ
N-6-2019,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2019/90322/live_blog_budget_2019_follow#.XpRUv8gzZPZ
N-7-2019,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2019/90335/watch_muscat_a_budget_that_gives_something_to_everyone_#.XpRU2cgzZPZ
N-8-2019,Newswire,MaltaToday,https://www.maltatoday.com.mt/news/budget-2019/90334/watch_budget_does_not_solve_any_of_maltas_problems__adrian_delia#.XpRU88gzZPZ
N-9-2019,Newswire,The Malta Independent,https://www.independent.com.mt/articles/2018-10-21/local-news/Innovation-key-for-Malta-to-continue-sustaining-economic-growth-Gordon-Cordina-6736198115
